filepath,xmin,xmax,ymin,ymax
data/annotations/Cars213.xml,150,233,160,194
data/annotations/Cars207.xml,254,372,229,264
data/annotations/Cars398.xml,72,196,139,222
data/annotations/Cars367.xml,224,382,161,222
data/annotations/Cars401.xml,158,238,223,240
data/annotations/Cars415.xml,133,261,157,192
data/annotations/Cars373.xml,161,264,132,157
data/annotations/Cars429.xml,86,208,166,195
data/annotations/Cars47.xml,6,48,143,161
data/annotations/Cars53.xml,146,260,187,213
data/annotations/Cars165.xml,209,293,217,254
data/annotations/Cars171.xml,192,242,146,167
data/annotations/Cars159.xml,149,261,184,211
data/annotations/Cars84.xml,167,238,201,220
data/annotations/Cars90.xml,77,101,204,225
data/annotations/Cars91.xml,269,317,170,189
data/annotations/Cars85.xml,86,146,218,235
data/annotations/Cars158.xml,97,296,118,210
data/annotations/Cars170.xml,318,346,190,224
data/annotations/Cars164.xml,160,239,144,183
data/annotations/Cars52.xml,226,327,181,210
data/annotations/Cars46.xml,189,352,193,248
data/annotations/Cars428.xml,142,258,128,157
data/annotations/Cars414.xml,269,309,206,228
data/annotations/Cars372.xml,221,353,275,309
data/annotations/Cars366.xml,144,316,112,160
data/annotations/Cars400.xml,303,340,191,217
data/annotations/Cars399.xml,106,309,62,161
data/annotations/Cars206.xml,95,164,185,206
data/annotations/Cars212.xml,105,290,94,141
data/annotations/Cars204.xml,193,279,145,187
data/annotations/Cars210.xml,54,315,90,159
data/annotations/Cars238.xml,276,396,186,273
data/annotations/Cars370.xml,285,425,249,276
data/annotations/Cars416.xml,150,234,207,221
data/annotations/Cars402.xml,360,438,165,181
data/annotations/Cars364.xml,61,115,140,167
data/annotations/Cars358.xml,44,107,94,107
data/annotations/Cars78.xml,149,249,210,239
data/annotations/Cars50.xml,116,525,55,262
data/annotations/Cars199.xml,59,310,88,158
data/annotations/Cars44.xml,18,430,153,271
data/annotations/Cars172.xml,173,301,209,239
data/annotations/Cars166.xml,148,201,123,150
data/annotations/Cars93.xml,347,367,122,132
data/annotations/Cars87.xml,3,45,205,220
data/annotations/Cars86.xml,332,447,176,204
data/annotations/Cars92.xml,281,393,185,271
data/annotations/Cars167.xml,176,327,254,285
data/annotations/Cars173.xml,170,252,118,163
data/annotations/Cars45.xml,204,280,103,175
data/annotations/Cars198.xml,166,273,225,246
data/annotations/Cars51.xml,264,318,141,162
data/annotations/Cars79.xml,238,350,363,422
data/annotations/Cars359.xml,228,266,228,240
data/annotations/Cars403.xml,296,332,189,209
data/annotations/Cars365.xml,293,373,205,226
data/annotations/Cars371.xml,313,371,135,150
data/annotations/Cars417.xml,90,273,145,196
data/annotations/Cars239.xml,176,326,254,284
data/annotations/Cars211.xml,28,387,64,235
data/annotations/Cars205.xml,156,221,162,199
data/annotations/Cars229.xml,253,284,163,177
data/annotations/Cars201.xml,216,367,171,208
data/annotations/Cars215.xml,92,162,105,123
data/annotations/Cars349.xml,38,146,225,249
data/annotations/Cars413.xml,237,271,143,162
data/annotations/Cars375.xml,144,300,114,145
data/annotations/Cars361.xml,148,305,113,178
data/annotations/Cars407.xml,311,346,183,202
data/annotations/Cars55.xml,143,210,171,208
data/annotations/Cars188.xml,32,43,184,193
data/annotations/Cars41.xml,109,159,182,206
data/annotations/Cars69.xml,77,124,150,175
data/annotations/Cars96.xml,133,261,126,160
data/annotations/Cars82.xml,190,257,59,77
data/annotations/Cars177.xml,149,272,166,193
data/annotations/Cars163.xml,220,360,173,200
data/annotations/Cars162.xml,201,268,168,213
data/annotations/Cars176.xml,72,308,67,185
data/annotations/Cars83.xml,251,326,295,341
data/annotations/Cars97.xml,98,297,102,191
data/annotations/Cars68.xml,189,245,142,171
data/annotations/Cars40.xml,261,317,186,211
data/annotations/Cars189.xml,285,423,241,286
data/annotations/Cars54.xml,148,257,61,118
data/annotations/Cars360.xml,52,94,167,200
data/annotations/Cars406.xml,285,374,185,226
data/annotations/Cars412.xml,221,362,172,202
data/annotations/Cars374.xml,354,441,118,142
data/annotations/Cars348.xml,156,250,121,204
data/annotations/Cars214.xml,188,214,121,134
data/annotations/Cars200.xml,95,195,189,217
data/annotations/Cars228.xml,86,113,127,143
data/annotations/Cars216.xml,205,280,214,262
